title,release_date,budget,director,distributor,dom_total_gross,domestic_total_adj_gross,genre,oscar_noms,producers,rating,runtime_mins,theaters,season,theater_run,Year,summer,fall,winter,spring,holiday,,PG-13,R,PG,G,GP,M/PG
The End of Violence,9/12/1997,5000000,,MGM,386673,752300,None,0,,R,122,,fall,0,1997,0,1,0,0,0,0,0,1,0,0,0,0
End of Watch,9/21/2012,7000000,David Ayer,Open Road Films,41003371,46190400,Crime_Thriller,0,"David Ayer, Randall Emmett, George Furla",R,109,2780,fall,118,2011,0,1,0,0,0,0,0,1,0,0,0,0
Endangered Species,9/10/1982,,,MGM,1474249,4477900,None,0,,R,97,,fall,0,2010,0,1,0,0,0,0,0,1,0,0,0,0
Ender's Game,11/1/2013,110000000,Gavin Hood,Lionsgate/Summit,61737191,66069400,Fantasy_Scifi,0,"Robert Chartoff, Gigi Pritzker",PG-13,114,3407,holiday,69,1980,0,0,0,0,1,0,1,0,0,0,0,0
Endgame,11/6/2009,,Pete Travis,"Monterey Media, Inc.",9645,11200,Drama,0,,PG-13,109,14,holiday,76,2002,0,0,0,0,1,0,1,0,0,0,0,0
Endless Love,7/17/1981,,,Universal,31184024,100170300,Romance,1,,R,111,,summer,0,1994,1,0,0,0,0,0,0,1,0,0,0,0
Endless Love,2/14/2014,20000000,Shana Feste,Universal,23438250,26294400,Romance,0,"Pamela Abdy, Josh Schwartz, Scott Stuber",PG-13,103,2896,winter,34,2014,0,0,1,0,0,0,1,0,0,0,0,0
Endless Poetry,7/14/2017,,,Abkco Films,153440,153100,Fantasy_Scifi,0,,,148,18,summer,0,2015,1,0,0,0,0,1,0,0,0,0,0,0
The Endless Summer,7/23/2014,,,"Monterey Media, Inc.",10233,11300,Documentary,0,,PG,92,32,summer,1,2001,1,0,0,0,0,0,0,0,1,0,0,0
The Endless Summer II,6/3/1994,,,New Line,2155385,4604700,Documentary,0,,PG,100,302,summer,0,1948,1,0,0,0,0,0,0,0,1,0,0,0
Endless Winter,10/20/1995,,,Warren Miller,1966454,4036900,Documentary,0,,,93,,fall,0,1981,0,1,0,0,0,1,0,0,0,0,0,0
Endurance,5/14/1999,,,Buena Vista,137124,241000,None,0,,G,83,20,summer,0,1965,1,0,0,0,0,0,0,0,0,1,0,0
The Endurance: Shackleton's Antarctic Adventure,10/5/2001,,,Cowboy,2453083,3809300,Documentary,0,,G,97,40,fall,405,2014,0,1,0,0,0,0,0,0,0,1,0,0
Enduring Love,10/29/2004,,,Paramount Classics,358362,514900,Drama,0,,R,91,56,fall,118,1993,0,1,0,0,0,0,0,1,0,0,0,0
Enemies of Laughter,8/1/2003,,,Outrider,2000,3000,None,0,,,90,1,summer,0,1975,1,0,0,0,0,1,0,0,0,0,0,0
Enemies of the People,7/30/2010,,,International Film Circuit,73171,82400,Documentary,0,,,93,6,summer,251,2005,1,0,0,0,0,1,0,0,0,0,0,0
"Enemies, A Love Story",12/15/1989,,,Fox,7754571,16415400,None,3,"James G. Robinson, Joe Roth",R,119,75,holiday,0,2008,0,0,0,0,1,0,0,1,0,0,0,0
Enemy,3/14/2014,,Denis Villeneuve,A24,1008726,1113500,Crime_Thriller,0,,R,90,120,spring,62,1978,0,0,0,1,0,0,0,1,0,0,0,0
Enemy at the Gates,3/16/2001,68000000,Jean-Jacques Annaud,Paramount,51401758,81098500,War,0,,R,131,1724,spring,0,2017,0,0,0,1,0,0,0,1,0,0,0,0
Enemy Mine,12/20/1985,,Wolfgang Petersen,Fox,12303411,29942400,Fantasy_Scifi,0,,PG-13,108,713,holiday,0,2006,0,0,0,0,1,0,1,0,0,0,0,0
Enemy of the State,11/20/1998,90000000,Tony Scott,Buena Vista,111549836,209542900,Act_Adven,0,Jerry Bruckheimer,R,131,2517,holiday,0,1949,0,0,0,0,1,0,0,1,0,0,0,0
The Enforcer,12/22/1976,,,Warner Bros.,46236000,193843900,Act_Adven,0,,R,97,,holiday,0,2008,0,0,0,0,1,0,0,1,0,0,0,0
The English Patient,11/15/1996,27000000,Anthony Minghella,Miramax,78676425,154571600,Romance,12,,R,162,1409,holiday,0,2006,0,0,0,0,1,0,0,1,0,0,0,0
The Englishman Who Went Up a Hill But Came Down a Mountain,5/12/1995,,,Miramax,10904930,22386400,Romance,0,,PG,96,961,summer,0,2007,1,0,0,0,0,0,0,0,1,0,0,0
Enigma,4/19/2002,,Michael Apted,Manhattan,4301582,6611600,Romance,0,"Mick Jagger, Lorne Michaels",R,117,115,spring,223,2010,0,0,0,1,0,0,0,1,0,0,0,0
Enigma,12/5/1983,,,Embassy,893967,2534300,None,0,,PG,102,,holiday,0,1981,0,0,0,0,1,0,0,0,1,0,0,0
Enlighten Up!,9/12/2008,,,Balcony Releasing,246649,296800,Documentary,0,,,82,12,fall,289,2009,0,1,0,0,0,1,0,0,0,0,0,0
Enough,5/24/2002,38000000,Michael Apted,Sony / Columbia,40007742,61492100,Crime_Thriller,0,"Rob Cowan, Irwin Winkler",PG-13,111,2623,summer,48,1994,1,0,0,0,0,0,1,0,0,0,0,0
Enron: The Smartest Guys in the Room,4/22/2005,,,Magnolia,4071700,5672400,Documentary,1,,,110,151,spring,160,2009,0,0,0,1,0,1,0,0,0,0,0,0
Enter the Dangerous Mind,2/6/2015,,,Variance Films,,,Crime_Thriller,0,,,88,,winter,0,1987,0,0,1,0,0,1,0,0,0,0,0,0
Enter the Dragon,8/17/1973,,Robert Clouse,Warner Bros.,,,Act_Adven,0,"Bruce Lee, Fred Weintraub",R,99,,summer,0,1990,1,0,0,0,0,0,0,1,0,0,0,0
Enter the Ninja,10/23/1981,,,Cannon Films,,,None,0,,R,,,fall,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Enter the Void,9/24/2010,16000000,Gaspar Noe,IFC,336467,378200,Drama,0,,,150,13,fall,93,1981,0,1,0,0,0,1,0,0,0,0,0,0
Entertainment,11/13/2015,,,Magnolia,55506,57200,Drama,0,,R,110,9,holiday,69,1988,0,0,0,0,1,0,0,1,0,0,0,0
The Entity,2/4/1983,,,Fox,13277558,37640800,Horror,0,,R,115,1035,winter,0,1980,0,0,1,0,0,0,0,1,0,0,0,0
Entourage,6/3/2015,30000000,Doug Ellin,Warner Bros.,32363404,35030900,Comedy,0,"Doug Ellin, Stephen Levinson, Mark Wahlberg",R,104,3108,summer,71,1996,1,0,0,0,0,0,0,1,0,0,0,0
Epic Movie,1/26/2007,,"Jason Friedberg, Aaron Seltzer",Fox,39739367,51580300,Comedy,0,"Jason Friedberg, Arnon Milchan, Aaron Seltzer",PG-13,86,2840,winter,97,1975,0,0,1,0,0,0,1,0,0,0,0,0
The Equalizer 2,8/3/2018,,Antoine Fuqua,Sony / Columbia,,,Crime_Thriller,0,,,,,summer,0,2013,1,0,0,0,0,1,0,0,0,0,0,0
Equals,7/15/2016,,Drake Doremus,A24,33258,34900,Drama,0,,PG-13,101,92,summer,20,2016,1,0,0,0,0,0,1,0,0,0,0,0
Equilibrium,12/6/2002,,Kurt Wimmer,Dimension Films,1203794,1850200,Fantasy_Scifi,0,,R,107,301,holiday,20,1994,0,0,0,0,1,0,0,1,0,0,0,0
Equinox,6/11/1993,,,IRS Media,279627,603200,None,0,,R,110,8,summer,0,2016,1,0,0,0,0,0,0,1,0,0,0,0
Equity,7/29/2016,,Meera Menon,Sony Classics,1605463,1683200,Drama,0,,R,100,255,summer,111,2014,1,0,0,0,0,0,0,1,0,0,0,0
Eragon,12/15/2006,100000000,,Fox,75030163,100539400,Fantasy_Scifi,0,"John Davis, Wyck Godfrey",PG,99,3030,holiday,114,2017,0,0,0,0,1,0,0,0,1,0,0,0
Erased,5/17/2013,,,Radius-TWC,,,Act_Adven,0,,R,104,,summer,0,1990,1,0,0,0,0,0,0,1,0,0,0,0
Eraser,6/21/1996,100000000,,Warner Bros.,101295562,204653700,Act_Adven,1,"Anne Kopelson, Arnold Kopelson, Michael Tadross",R,115,2556,summer,0,1931,1,0,0,0,0,0,0,1,0,0,0,0
Eric Clapton: A Live in 12 Bars,11/24/2017,,,Abramorama,,,Documentary,0,,,120,,holiday,0,1990,0,0,0,0,1,1,0,0,0,0,0,0
Erin Brockovich,3/17/2000,52000000,Steven Soderbergh,Universal,125595205,208082600,Drama,5,"Gail Lyon, Michael Shamberg, Stacey Sher",R,130,3070,spring,0,2011,0,0,0,1,0,0,0,1,0,0,0,0
Ernest & Celestine,2/28/2014,,,GKIDS,262075,285800,Animation,1,,PG,80,39,winter,62,1966,0,0,1,0,0,0,0,0,1,0,0,0
Ernest Goes to Camp,5/22/1987,,John R. Cherry III,Buena Vista,23509382,53692800,Family,0,,PG,92,1541,summer,0,1991,1,0,0,0,0,0,0,0,1,0,0,0
Ernest Goes to Jail,4/6/1990,,John R. Cherry III,Buena Vista,25029569,52840200,Comedy,0,,PG,81,1956,spring,0,2004,0,0,0,1,0,0,0,0,1,0,0,0
Ernest Rides Again,11/12/1993,,,Emshell Prod. Group,1450029,3127700,Comedy,0,,PG,99,1190,holiday,0,1995,0,0,0,0,1,0,0,0,1,0,0,0
Ernest Saves Christmas,11/11/1988,,,Buena Vista,28202109,61362300,Family,0,,PG,95,1640,holiday,0,1988,0,0,0,0,1,0,0,0,1,0,0,0
Ernest Scared Stupid,10/11/1991,,,Buena Vista,14143280,29999900,Comedy,0,,PG,92,1787,fall,0,1977,0,1,0,0,0,0,0,0,1,0,0,0
Escaflowne: The Movie,1/25/2002,,,Bandai,94060,144600,Animation,0,,PG-13,98,5,winter,0,2008,0,0,1,0,0,0,1,0,0,0,0,0
Escanaba in 'da Moonlight,1/26/2001,,,Purple,2276602,3591900,Comedy,0,,PG-13,92,48,winter,0,1993,0,0,1,0,0,0,1,0,0,0,0,0
Escape 2000,12/5/1984,,,New World,1414828,3760200,None,0,,R,80,,holiday,0,2010,0,0,0,0,1,0,0,1,0,0,0,0
The Escape Artist,5/28/1982,,,Warner Bros.,143369,435500,None,0,,PG,93,2,summer,0,2015,1,0,0,0,0,0,0,0,1,0,0,0
Escape Fire,10/5/2012,,,Roadside Attractions,126238,140600,Documentary,0,,PG-13,95,12,fall,174,1977,0,1,0,0,0,0,1,0,0,0,0,0
Escape From L.A.,8/9/1996,,John Carpenter,Paramount,25477365,51473500,Fantasy_Scifi,0,,R,105,2312,summer,0,1981,1,0,0,0,0,0,0,1,0,0,0,0
Escape from New York,7/10/1981,,John Carpenter,Embassy,25244626,81091600,Fantasy_Scifi,0,Larry J. Franco,R,99,,summer,0,2007,1,0,0,0,0,0,0,1,0,0,0,0
Escape From Planet Earth,2/15/2013,40000000,Cal Brunker,Weinstein Company,57012977,63925500,Animation,0,,PG,89,3353,winter,160,1992,0,0,1,0,0,0,0,0,1,0,0,0
Escape from the Planet of the Apes,5/21/1971,,,Fox,12348905,66833800,Fantasy_Scifi,0,,G,98,,summer,0,2001,1,0,0,0,0,0,0,0,0,1,0,0
Escape from Tomorrow,10/11/2013,,,Producers Distribution Agency,171962,183900,Fantasy_Scifi,0,"Release Date:, October 11, 2013",,90,30,fall,41,2003,0,1,0,0,0,1,0,0,0,0,0,0
Escape Plan,10/18/2013,,Mikael Hafstrom,Lionsgate/Summit,25135965,26894900,Act_Adven,0,"Mark Canton, Randall Emmett, George Furla",R,116,2883,fall,90,1991,0,1,0,0,0,0,0,1,0,0,0,0
Escape to Witch Mountain,3/21/1975,,,Buena Vista,20000000,87122000,Family,0,,G,97,,spring,0,2013,0,0,0,1,0,0,0,0,0,1,0,0
Escapes,7/28/2017,,,Grasshopper Film,15712,15700,Documentary,0,,,89,4,summer,0,2013,1,0,0,0,0,1,0,0,0,0,0,0
The Escapist,4/3/2009,,Rupert Wyatt,IFC,13439,16700,Crime_Thriller,0,,,102,2,spring,20,1999,0,0,0,1,0,1,0,0,0,0,0,0
Escobar: Paradise Lost,6/26/2015,,,Radius-TWC,195792,211900,Romance,0,,R,120,105,summer,13,2017,1,0,0,0,0,0,0,1,0,0,0,0
ESPN's Ultimate X,5/10/2002,,,Buena Vista,4197492,6451600,Other,0,,PG,47,48,summer,200,2016,1,0,0,0,0,0,0,0,1,0,0,0
Esther Kahn,3/1/2002,,,Empire,23371,35900,None,0,,,163,3,spring,153,2009,0,0,0,1,0,1,0,0,0,0,0,0
Eternal,8/26/2005,,,Regent Releasing,28089,39100,Horror,0,,R,107,9,summer,23,2013,1,0,0,0,0,0,0,1,0,0,0,0
Eternal Sunshine of the Spotless Mind,3/19/2004,20000000,Michel Gondry,Focus Features,34400301,49467800,Fantasy_Scifi,2,"Steve Golin, Glenn Williamson",R,108,1357,spring,132,2014,0,0,0,1,0,0,0,1,0,0,0,0
Eternity and a Day,5/28/1999,,,Artistic License,107178,188400,None,0,,,132,3,summer,132,1993,1,0,0,0,0,1,0,0,0,0,0,0
Eternity the Movie,10/17/2014,,,Indican,8350,9000,Comedy,0,,,91,1,fall,317,1995,0,1,0,0,0,1,0,0,0,0,0,0
Ethan Frome,3/12/1993,,John Madden,Miramax,296081,638600,None,0,,PG,99,27,spring,0,1997,0,0,0,1,0,0,0,0,1,0,0,0
Ethan Mao,4/8/2005,,,Margin,10178,14200,Drama,0,,,86,1,spring,0,2006,0,0,0,1,0,1,0,0,0,0,0,0
Etoiles: Dancers of the Paris Opera Ballet,11/8/2002,,,First Run,46412,69600,Documentary,0,,,100,1,holiday,307,2010,0,0,0,0,1,1,0,0,0,0,0,0
Eulogy,10/15/2004,,,Lions Gate,75076,108000,Comedy,0,,R,85,22,fall,13,2017,0,1,0,0,0,0,0,1,0,0,0,0
Eureka,5/4/2001,,,Shooting Gallery,49388,77900,None,0,,,215,,summer,20,2007,1,0,0,0,0,1,0,0,0,0,0,0
Eureka,10/5/1984,,,United Artists,123572,328400,None,0,,R,130,,fall,0,2006,0,1,0,0,0,0,0,1,0,0,0,0
Europa Report,8/2/2013,,,Magnolia,125687,143000,Fantasy_Scifi,0,,PG-13,90,12,summer,69,2015,1,0,0,0,0,0,1,0,0,0,0,0
European Vacation,7/26/1985,,Amy Heckerling,Warner Bros.,49364621,124176400,Comedy,0,,PG-13,94,1547,summer,0,1998,1,0,0,0,0,0,1,0,0,0,0,0
The Europeans,12/5/1979,,,Unknown,,,None,0,,,91,,holiday,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Eva Hesse,4/27/2016,,,Zeitgeist,157481,160800,Documentary,0,,,108,7,spring,0,2004,0,0,0,1,0,1,0,0,0,0,0,0
Evan Almighty,6/22/2007,175000000,Tom Shadyac,Universal,100462298,130396500,Fantasy_Scifi,0,"Gary Goetzman, Gary Barber, Roger Birnbaum, Michael Bostick, Neal H. Moritz, Tom Shadyac, Tom Hanks",PG,90,3636,summer,0,1971,1,0,0,0,0,0,0,0,1,0,0,0
Evangelion: 3.0 You Can,1/10/2014,,,Eleven Arts,174945,196300,Animation,0,,,106,82,winter,34,1981,0,0,1,0,0,1,0,0,0,0,0,0
Eve of Destruction,1/18/1991,13000000,,Orion Pictures,5451119,11562600,Fantasy_Scifi,0,,R,100,987,winter,0,1972,0,0,1,0,0,0,0,1,0,0,0,0
Eve's Bayou,11/7/1997,,,Trimark,14842388,28876400,Drama,0,"Jay Polstein, Nick Wechsler, Julie Yorn",R,109,672,holiday,0,2000,0,0,0,0,1,0,0,1,0,0,0,0
Even Cowgirls Get the Blues,5/20/1994,,Gus Van Sant,Fine Line,1708873,3650800,Comedy,0,Gus Van Sant,R,96,533,summer,0,1994,1,0,0,0,0,0,0,1,0,0,0,0
Even Money,5/18/2007,,Mark Rydell,Yari Film Group,64458,83700,Drama,0,,R,108,19,summer,27,2010,1,0,0,0,0,0,0,1,0,0,0,0
Evening,6/29/2007,,,Focus Features,12492481,16214800,Drama,0,,PG-13,117,979,summer,34,2007,1,0,0,0,0,0,1,0,0,0,0,0
The Evening Star,12/27/1996,,Robert Harling,Paramount,12767815,24987300,Comedy,0,,PG-13,129,1268,holiday,0,2002,0,0,0,0,1,0,1,0,0,0,0,0
The Event,10/3/2003,,,ThinkFilm,35554,52700,None,0,,R,105,18,fall,27,1995,0,1,0,0,0,0,0,1,0,0,0,0
Ever After: A Cinderella Story,7/31/1998,26000000,Andy Tennant,Fox,65705771,124287400,Romance,0,Mireille Soria,PG-13,121,2067,summer,0,2003,1,0,0,0,0,0,1,0,0,0,0,0
Ever Again,12/8/2006,,,Rocky Mountain Pictures,17304,23600,Documentary,0,,,75,12,holiday,6,2004,0,0,0,0,1,1,0,0,0,0,0,0
Everest,9/18/2015,55000000,Baltasar Kormakur,Universal,43482270,45193900,Crime_Thriller,0,"Tim Bevan, Eric Fellner",PG-13,121,3009,fall,69,1980,0,1,0,0,0,0,1,0,0,0,0,0
Everest,9/27/2019,,"Tim Johnson, Todd Wilderman",Universal,,,Animation,0,,,,,fall,0,2009,0,1,0,0,0,1,0,0,0,0,0,0
Everest,3/6/1998,,,MacGillivray Freeman Films,87178599,148030500,Other,0,,,45,62,spring,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Evergreen,9/10/2004,,,Evergreen Films,,,None,0,,PG-13,86,,fall,0,1985,0,1,0,0,0,0,1,0,0,0,0,0
Evergreen: The Road to Legalization,6/13/2014,,,First Run,2363,2600,Documentary,0,,,86,3,summer,58,0,1,0,0,0,0,1,0,0,0,0,0,0
An Everlasting Piece,12/22/2000,14000000,Barry Levinson,DreamWorks,75228,120500,None,0,"Mark Johnson, Barry Levinson",R,103,8,holiday,27,1983,0,0,0,0,1,0,0,1,0,0,0,0
Everly,2/27/2015,,,Radius-TWC,,,Act_Adven,0,,R,92,,winter,0,1986,0,0,1,0,0,0,0,1,0,0,0,0
Every Day,1/14/2011,3000000,,Image Entertainment,46029,52300,Comedy,0,,R,93,4,winter,69,1988,0,0,1,0,0,0,0,1,0,0,0,0
Every Little Step,4/17/2009,,"Adam Del Deo, James D. Stern",Sony Classics,1725141,2065000,Documentary,0,"Adam Del Deo, James D. Stern",PG-13,96,70,spring,174,1984,0,0,0,1,0,0,1,0,0,0,0,0
Every Secret Thing,5/15/2015,,,Starz Media,103536,107400,Drama,0,,R,93,20,summer,6,2017,1,0,0,0,0,0,0,1,0,0,0,0
Every Thing Will be Fine,12/4/2015,,Wim Wenders,IFC,9233,9500,Drama,0,,,118,2,holiday,0,2014,0,0,0,0,1,1,0,0,0,0,0,0
Every Time We Say Goodbye,11/14/1986,,,TriStar,278623,670700,None,0,,PG-13,95,63,holiday,0,2003,0,0,0,0,1,0,1,0,0,0,0,0
Every Which Way But Loose,12/20/1978,,,Warner Bros.,85196485,325130200,Act_Adven,0,,PG,110,,holiday,0,1999,0,0,0,0,1,0,0,0,1,0,0,0
Everybody Loves Somebody,2/17/2017,,,Pantelion,1915789,1935300,Romance,0,,PG-13,102,333,winter,34,2015,0,0,1,0,0,0,1,0,0,0,0,0
Everybody Wants Some!!,3/30/2016,,Richard Linklater,Paramount,3400278,3479000,Comedy,0,"Megan Ellison, Richard Linklater",R,117,454,spring,50,2012,0,0,0,1,0,0,0,1,0,0,0,0
Everybody Wants to Be Italian,9/5/2008,3000000,,Roadside Attractions,351416,437100,Romance,0,,R,103,98,fall,41,2006,0,1,0,0,0,0,0,1,0,0,0,0
Everybody Wins,1/19/1990,,,Orion Pictures,1372350,2897200,Drama,0,,R,97,451,winter,0,1985,0,0,1,0,0,0,0,1,0,0,0,0
Everybody's All-American,11/4/1988,,Taylor Hackford,Warner Bros.,12638294,27459800,Sports,0,"Taylor Hackford, Laura Ziskin",R,127,1123,holiday,0,2011,0,0,0,0,1,0,0,1,0,0,0,0
Everybody's Fine,12/4/2009,21000000,Kirk Jones,Miramax,9208876,10806200,Comedy,0,,PG-13,95,2141,holiday,20,1996,0,0,0,0,1,0,1,0,0,0,0,0
Everyone Else,4/9/2010,,,Cinema Guild,102042,116400,Romance,0,,,119,5,spring,251,1996,0,0,0,1,0,1,0,0,0,0,0,0
Everyone Says I Love You,12/6/1996,,Woody Allen,Miramax,9759200,18986900,Romance,0,,R,97,276,holiday,0,2013,0,0,0,0,1,0,0,1,0,0,0,0
Everyone's Hero,9/15/2006,,,Fox,14523101,19800200,Animation,0,Janet Healy,G,88,2898,fall,83,2016,0,1,0,0,0,0,0,0,0,1,0,0
Everything Is Illuminated,9/16/2005,,,Warner Independent,1712337,2385500,Drama,0,,PG-13,100,110,fall,76,1999,0,1,0,0,0,0,1,0,0,0,0,0
Everything Must Go,5/13/2011,5000000,Dan Rush,Roadside Attractions,2711643,3005500,Comedy,0,"Marty Bowen, Wyck Godfrey",R,100,245,summer,125,2016,1,0,0,0,0,0,0,1,0,0,0,0
Everything Put Together,11/2/2001,,,Vitagraph,2963,4700,Drama,0,,R,87,,holiday,13,2012,0,0,0,0,1,0,0,1,0,0,0,0
Everything's Cool,11/23/2007,,,City Lights Pictures Releasing,4890,6300,Documentary,0,,,89,2,holiday,6,1996,0,0,0,0,1,1,0,0,0,0,0,0
Everything's Gone Green,4/13/2007,,,First Independent Pictures,19373,25200,Comedy,0,,R,95,4,spring,93,2001,0,0,0,1,0,0,0,1,0,0,0,0
"Everything, Everything",5/19/2017,10000000,,Warner Bros.,34121140,34045900,Drama,0,,PG-13,96,2801,summer,69,2003,1,0,0,0,0,0,1,0,0,0,0,0
Evidence of a Haunting,8/26/2011,,,Nocturnal Features,29904,33600,Horror,0,,,82,10,summer,6,2003,1,0,0,0,0,1,0,0,0,0,0,0
Evil Bong 3-D,4/8/2011,,,Full Moon Pictures,91260,103700,Fantasy_Scifi,0,,,86,1,spring,41,2009,0,0,0,1,0,1,0,0,0,0,0,0
The Evil Dead,1/1/1983,,Sam Raimi,New Line,2400000,6803800,Horror,0,Sam Raimi,,85,128,winter,0,2017,0,0,1,0,0,1,0,0,0,0,0,0
Evil Dead,4/5/2013,17000000,Fede Alvarez,TriStar,54239856,61002800,Horror,0,"Bruce Campbell, Sam Raimi, Peter Schlessel, Robert Tapert",R,91,3025,spring,65,2010,0,0,0,1,0,0,0,1,0,0,0,0
Evil Dead 2,3/13/1987,,Sam Raimi,DEG,5923044,13527600,Horror,0,,R,85,310,spring,0,2011,0,0,0,1,0,0,0,1,0,0,0,0
Evil Intent,6/29/2013,,,Driving With Our Eyes Shut,10454,11800,Crime_Thriller,0,,,74,2,summer,127,1964,1,0,0,0,0,1,0,0,0,0,0,0
Evil Remains,10/22/2004,,,Screen Media,8747,12600,None,0,,R,88,4,fall,0,2016,0,1,0,0,0,0,0,1,0,0,0,0
The Evil That Men Do,9/21/1984,,,TriStar,13102025,34821700,Act_Adven,0,,R,90,1464,fall,0,1987,0,1,0,0,0,0,0,1,0,0,0,0
Evil Under the Sun,3/5/1982,,,Universal,6110000,18558600,Crime_Thriller,0,,PG,116,609,spring,0,2017,0,0,0,1,0,0,0,0,1,0,0,0
Evita,12/25/1996,55000000,Alan Parker,Buena Vista,50047179,97378900,Musical,5,,PG,130,1045,holiday,134,2014,0,0,0,0,1,0,0,0,1,0,0,0
Evocateur: The Morton Downey Jr. Movie,6/7/2013,,,Magnolia,31313,33400,Documentary,0,,R,90,5,summer,0,2016,1,0,0,0,0,0,0,1,0,0,0,0
Evolution,6/8/2001,80000000,Ivan Reitman,DreamWorks,38345494,60499200,Fantasy_Scifi,0,"Joe Medjuck, Tom Pollock, Ivan Reitman",PG-13,102,2613,summer,76,2013,1,0,0,0,0,0,1,0,0,0,0,0
Evolution,11/25/2016,,,IFC,24770,25200,Drama,0,,,82,9,holiday,27,1976,0,0,0,0,1,1,0,0,0,0,0,0
Evolution of a Criminal,10/10/2014,,,The Film Collaborative,3568,3900,Documentary,0,,,81,1,fall,6,2016,0,1,0,0,0,1,0,0,0,0,0,0
The Ex,5/11/2007,,Jesse Peretz,MGM (Weinstein),3093394,4015100,Romance,0,Ted Hope,PG-13,92,1009,summer,62,2012,1,0,0,0,0,0,1,0,0,0,0,0
Ex Libris: The New York Public Library,9/13/2017,,,Zipporah Films,145201,145200,Documentary,0,,,195,15,fall,0,1974,0,1,0,0,0,1,0,0,0,0,0,0
Examined Life,2/25/2009,,,Zeitgeist,120712,144500,Documentary,0,,,87,6,winter,134,2008,0,0,1,0,0,1,0,0,0,0,0,0
Excalibur,4/10/1981,,,Warner Bros.,34967437,112323500,Fantasy_Scifi,1,,PG,140,,spring,0,2013,0,0,0,1,0,0,0,0,1,0,0,0
Excellent Cadavers,7/12/2006,,,Icarus Films,22300,30400,Crime_Thriller,0,,R,106,1,summer,11,2010,1,0,0,0,0,0,0,1,0,0,0,0
Excess Baggage,8/29/1997,,,Sony / Columbia,14515490,28240400,Comedy,0,,PG-13,101,2211,summer,0,2008,1,0,0,0,0,0,1,0,0,0,0,0
Excessive Force,5/14/1993,,,New Line,1152117,2485100,Act_Adven,0,Erwin Stoff,R,87,501,summer,0,2013,1,0,0,0,0,0,0,1,0,0,0,0
Excuse Me for Living,10/12/2012,,,Dada Films,,,Romance,0,,,105,,fall,0,2009,0,1,0,0,0,1,0,0,0,0,0,0
Execution of Wanda Jean,9/6/2002,,,7th Art,1386,2100,None,0,,,88,1,fall,0,1993,0,1,0,0,0,1,0,0,0,0,0,0
Exhibition,6/20/2014,,,Kino Lorber,14344,15600,Drama,0,,,104,1,summer,0,2008,1,0,0,0,0,1,0,0,0,0,0,0
Exiled,8/31/2007,,,Magnolia,51957,67400,Foreign,0,,R,100,7,summer,20,2002,1,0,0,0,0,0,0,1,0,0,0,0
The Exiles,7/11/2008,,,Milestone,30945,38500,Drama,0,,,72,1,summer,27,2008,1,0,0,0,0,1,0,0,0,0,0,0
eXistenZ,4/23/1999,15000000,,Miramax,2856712,5021700,Fantasy_Scifi,0,,R,90,256,spring,0,1987,0,0,0,1,0,0,0,1,0,0,0,0
Exit Through the Gift Shop,4/16/2010,,,Producers Distribution Agency,3291250,3746300,Documentary,1,"Release Date:, April 16, 2010",R,87,46,spring,202,1997,0,0,0,1,0,0,0,1,0,0,0,0
Exit to Eden,10/14/1994,,Garry Marshall,Savoy,6841570,14616100,Comedy,0,,R,113,1670,fall,0,1988,0,1,0,0,0,0,0,1,0,0,0,0
Exit Wounds,3/16/2001,50000000,Andrzej Bartkowiak,Warner Bros.,51758599,81661500,Act_Adven,0,Joel Silver,R,101,2830,spring,0,2007,0,0,0,1,0,0,0,1,0,0,0,0
Exodus: Gods and Kings,12/12/2014,140000000,Ridley Scott,Fox,65014513,70408400,Drama,0,"Peter Chernin, Ridley Scott",PG-13,150,3503,holiday,76,2010,0,0,0,0,1,0,1,0,0,0,0,0
The Exorcism of Emily Rose,9/9/2005,19000000,Scott Derrickson,Sony / Screen Gems,75072454,104586100,Horror,0,"Paul Harris Boardman, Beau Flynn, Gary Lucchesi, Tom Rosenberg, Tripp Vinson, Julie Yorn",PG-13,114,3045,fall,58,1998,0,1,0,0,0,0,1,0,0,0,0,0
Exorcism: The Movie,10/3/2003,,,"Exorcism The Movie, LLC",1303,1900,Horror,0,,PG-13,98,2,fall,0,2003,0,1,0,0,0,0,1,0,0,0,0,0
The Exorcist,12/26/1973,,William Friedkin,Warner Bros.,232906145,921652400,Horror,0,,R,122,,holiday,0,2012,0,0,0,0,1,0,0,1,0,0,0,0
The Exorcist Director's Cut,9/22/2000,11000000,table.chart-wide { width: 100%; },Warner Bros.,232906145,65725800,Horror,0,,R,132,1708,fall,0,1996,0,1,0,0,0,0,0,1,0,0,0,0
The Exorcist Extended Director's Cut,9/30/2010,,table.chart-wide { width: 100%; },Warner Bros.,232906145,272300,Horror,0,,R,132,,fall,92,1981,0,1,0,0,0,0,0,1,0,0,0,0
The Exorcist III,8/17/1990,,,Fox,26098824,55097500,Horror,0,"James G. Robinson, Joe Roth",R,105,1414,summer,0,1995,1,0,0,0,0,0,0,1,0,0,0,0
